26. 02. 2021 00:00:00;47087,97;48438,01;44100,00;46313,13;440670,320
27. 02. 2021 00:00:00;46313,12;48476,05;44926,77;46102,63;256027,074
28. 02. 2021 00:00:00;46097,09;46678,00;43002,05;45163,36;370358,825
1. 03. 2021 00:00:00;45162,64;49800,00;44972,49;49592,70;315659,931
2. 03. 2021 00:00:00;49594,99;50221,77;47058,06;48450,57;273100,435
3. 03. 2021 00:00:00;48454,21;52681,51;48110,66;50373,75;350311,234
4. 03. 2021 00:00:00;50373,75;51800,00;47500,00;48385,77;387428,957
5. 03. 2021 00:00:00;48385,77;49470,00;46320,00;48770,57;354602,756
6. 03. 2021 00:00:00;48772,68;49253,63;47090,00;48908,21;215092,910
7. 03. 2021 00:00:00;48908,21;51480,00;48908,21;50995,27;248398,116
8. 03. 2021 00:00:00;50991,35;52450,00;49310,00;52429,43;308339,866
9. 03. 2021 00:00:00;52429,43;54950,00;51880,00;54917,78;285604,798
10. 03. 2021 00:00:00;54917,78;57500,92;53061,00;55947,98;401159,493
11. 03. 2021 00:00:00;55949,30;58283,00;54356,44;57844,52;364681,318
12. 03. 2021 00:00:00;57842,64;58186,33;55074,30;57291,03;335495,042
13. 03. 2021 00:00:00;57291,04;61950,00;56136,00;61267,41;320322,173
14. 03. 2021 00:00:00;61267,41;61798,00;59005,00;59037,12;231991,901
15. 03. 2021 00:00:00;59037,11;60740,00;54517,28;55646,61;448820,830
16. 03. 2021 00:00:00;55646,61;56988,00;53335,00;56954,19;339718,202
17. 03. 2021 00:00:00;56953,23;59078,79;54154,93;58959,00;339397,712
18. 03. 2021 00:00:00;58959,01;60510,00;57072,00;57700,01;305100,026
19. 03. 2021 00:00:00;57700,01;59550,00;56301,27;58089,11;259039,479
20. 03. 2021 00:00:00;58089,11;59948,00;57881,00;58145,61;203680,149
21. 03. 2021 00:00:00;58144,44;58638,70;55403,55;57415,18;237518,696
22. 03. 2021 00:00:00;57415,19;58500,00;53635,81;54129,56;293062,947
23. 03. 2021 00:00:00;54129,56;55890,68;52981,40;54400,00;276199,041
24. 03. 2021 00:00:00;54400,00;57234,79;51666,00;52311,54;394172,526
25. 03. 2021 00:00:00;52307,89;53255,20;50452,08;51325,21;416848,091
26. 03. 2021 00:00:00;51325,21;55123,00;51260,00;55030,00;271957,842
27. 03. 2021 00:00:00;55030,00;55555,55;54001,00;54616,20;134306,533
